longname,hashname
1.97.1.9: Selenate reductase,LKUqauoPGGqe
2.10.1.1: Molybdopterin molybdotransferase,kwQeEtDmnoFt
3.1.3.3: Phosphoserine phosphatase,fjqEpZyBWUgw
3.6.3.53: Ag(+)-exporting ATPase,eKZLflLlJPmC
3.2.2.n1: Cytokinin riboside 5'-monophosphate phosphoribohydrolase,xxppXhpTvCXp
"1.1.1.302: 2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase",bLSAwmwHPgKo
"2.5.1.101: N,N'-diacetyllegionaminate synthase",INntGwwfGWNt
2.4.1.22: Lactose synthase,MpdsALJtfQOm
3.4.13.18: Cytosol nonspecific dipeptidase,KhfVpFwWBsAW
2.7.1.15: Ribokinase,TxlrJxIlVnSJ
"2.7.9.2: Pyruvate, water dikinase",vaNTetJKsPzN
7.4.2.1: NO_NAME,gkDECtjvzVnF
2.7.7.42: [Glutamate--ammonia-ligase] adenylyltransferase,SxpPkIqSxeYT
2.3.1.57: Diamine N-acetyltransferase,AAQLHKFNBMeW
3.2.1.169: Protein O-GlcNAcase,TPCNvxjshfGD
3.1.1.17: Gluconolactonase,nBpCzkyMRCVf
3.5.1.32: Hippurate hydrolase,supqCgOxusFA
2.7.10.1: Receptor protein-tyrosine kinase,PXHlsFqncysw
1.14.14.5: Alkanesulfonate monooxygenase,gUSvTtPIpteh
1.8.2.4: Dimethyl sulfide:cytochrome c2 reductase,hUtNIqAgTaeS
1.3.99.2: Transferred entry: 1.3.8.1,WREEIigqfvfi
3.4.22.15: Cathepsin L,XhxNdljfWCuF
2.7.7.89: [Glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase,fyEowpmEBhIN
4.2.1.107: hydratase,hGiyogoiDStA
2.5.1.7: UDP-N-acetylglucosamine 1-carboxyvinyltransferase,PZqxfVFWjHsD
3.4.21.50: Lysyl endopeptidase,iLUeVpDETEPf
3.1.1.45: Carboxymethylenebutenolidase,FLYgSIXRongV
"1.1.1.202: 1,3-propanediol dehydrogenase",rCghQmteLhXw
3.5.4.12: dCMP deaminase,FOFdEupqRaEy
6.3.4.16: Carbamoyl-phosphate synthase (ammonia),XmisCGYBelnL
2.4.1.243: 6(G)-fructosyltransferase,xCgflmfmQzak
"1.14.99.36: Beta-carotene 15,15'-monooxygenase",uCgJtojvVuUS
2.1.1.210: Demethylspheroidene O-methyltransferase,rBWcFxjtWpFO
2.3.1.37: 5-aminolevulinate synthase,TSjZOEGUWTvL
1.2.1.39: Phenylacetaldehyde dehydrogenase,TNMeucUlOXYI
2.1.1.37: DNA (cytosine-5-)-methyltransferase,MvMKkeWOFfaS
2.7.1.194: NO_NAME,wkMHPxXSoLni
3.6.1.3: Adenosinetriphosphatase,QVapmZFSoayg
4.2.1.167: NO_NAME,eMNNInfjkwoc
6.1.1.4: Leucine--tRNA ligase,alXCLrEOSofD
2.7.7.4: Sulfate adenylyltransferase,QPArqBAGKJfi
1.2.98.1: Formaldehyde dismutase,BAXqZWwNSurB
1.1.1.57: Fructuronate reductase,JgBbbpxDDHfU
2.4.2.52: Triphosphoribosyl-dephospho-CoA synthase,OiNQFXhtXsMl
6.5.1.4: RNA 3'-terminal-phosphate cyclase (ATP),KfTRSfkCeLQG
4.2.1.20: Tryptophan synthase,qJkvoijPPBfM
"2.7.7.82: CMP-N,N'-diacetyllegionaminic acid synthase",klsLKIMrgDAX
4.2.1.75: Uroporphyrinogen-III synthase,DfdvlnRsNhlv
5.3.3.4: Muconolactone Delta-isomerase,MibjYCroeckU
1.1.1.272: D-2-hydroxyacid dehydrogenase (NADP(+)),KDMdRLdHyNpG
1.1.99.38: 2-deoxy-scyllo-inosamine dehydrogenase (AdoMet-dependent),vUpPvQZzLXZd
"1.14.14.12: 3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase",IMbwOVzXGvYg
4.1.1.4: Acetoacetate decarboxylase,dVtDtzCfLuYf
3.5.1.44: Protein-glutamine glutaminase,bcTpElrLtJyE
1.6.5.5: NADPH:quinone reductase,VRSfvggaCqwN
"4.2.1.46: dTDP-glucose 4,6-dehydratase",gqztsPZiibvS
2.6.1.53: Transferred entry: 1.4.1.13,honkukCuPKIi
3.5.4.23: Blasticidin-S deaminase,lmWCqYGIpFTH
3.5.1.91: N-substituted formamide deformylase,qmuZTnXxZyzD
4.1.2.17: L-fuculose-phosphate aldolase,MirWpXyLUwAD
2.8.1.12: Molybdopterin synthase,XjFjvBabOeJX
4.1.1.3: Oxaloacetate decarboxylase,HGHsjKRJiwLK
4.99.1.2: Alkylmercury lyase,RvmqlFuczIdk
2.4.1.11: Glycogen(starch) synthase,xKJSEOygDeLS
2.3.1.274: NO_NAME,HUsYClYflKzt
1.8.1.4: Dihydrolipoyl dehydrogenase,LaLiNgcRKBzX
2.6.1.11: Acetylornithine transaminase,FKayRDiMkoMM
1.2.7.8: Indolepyruvate ferredoxin oxidoreductase,cyEeetexTZmh
5.1.1.11: Phenylalanine racemase (ATP-hydrolyzing),CmNNwvmMNoEL
2.1.1.172: 16S rRNA (guanine(1207)-N(2))-methyltransferase,aLvvJXhrCeAX
2.4.2.6: Nucleoside deoxyribosyltransferase,yJInFiXpcxrP
1.2.1.58: Phenylglyoxylate dehydrogenase (acylating),jlPJXMPqOsTj
1.2.1.62: 4-formylbenzenesulfonate dehydrogenase,AbaCapDaNHqK
1.10.9.1: Plastoquinol--plastocyanin reductase,idQdwPasRxvM
3.6.1.15: Nucleoside-triphosphate phosphatase,yJtJYqgrYcRS
5.1.3.8: N-acylglucosamine 2-epimerase,pDrUGklwlnMH
3.5.4.42: NO_NAME,KVDZAzBdyMAl
2.1.1.66: Transferred entry: 2.1.1.230,dFfOgZvhmkom
4.2.2.5: Chondroitin AC lyase,xaKrbolTeGRI
2.7.2.1: Acetate kinase,UtORHfPMZyxE
1.1.1.261: sn-glycerol-1-phosphate dehydrogenase,ljUEzDOrxPsQ
1.14.13.131: Dimethyl-sulfide monooxygenase,alZiCRcuhaSJ
3.5.99.10: 2-iminobutanoate/2-iminopropanoate deaminase,IofiStOTsiyg
3.1.3.81: Diacylglycerol diphosphate phosphatase,iQxDWCPXccnY
1.1.1.310: (S)-sulfolactate dehydrogenase,PdwDgwCpsmUR
3.1.31.1: Micrococcal nuclease,GuyPXdlwwbXm
4.3.1.2: Methylaspartate ammonia-lyase,JyfozpCMSSgE
4.3.1.3: Histidine ammonia-lyase,EvWrKUxxcYnq
1.4.4.2: Glycine dehydrogenase (aminomethyl-transferring),ywYrSgzZWICo
3.1.4.3: Phospholipase C,CSBaARqOjMsl
2.5.1.31: diphosphate specific),MxKsxjmpctxH
3.1.4.44: Glycerophosphoinositol glycerophosphodiesterase,RDSFkewdmZiE
2.3.1.251: NO_NAME,IStUQCOVlzpI
3.2.1.52: Beta-N-acetylhexosaminidase,iNvvIMlSScvJ
5.3.1.23: S-methyl-5-thioribose-1-phosphate isomerase,gBtvKgnMTXuD
1.1.1.373: Sulfolactaldehyde 3-reductase,cIiEkjxTeBCX
3.5.4.26: Diaminohydroxyphosphoribosylaminopyrimidine deaminase,TyRCwnWoZMbK
2.1.1.192: 23S rRNA (adenine(2503)-C(2))-methyltransferase,BdqsrIAIIDCq
2.7.1.30: Glycerol kinase,VAEQSxPLAotg
3.2.1.35: Hyaluronoglucosaminidase,nZXdcDqYSsjF
2.7.8.6: Undecaprenyl-phosphate galactose phosphotransferase,YILTvuPmFjWw
"5.4.3.8: Glutamate-1-semialdehyde 2,1-aminomutase",ehaOvSEbAPvI
3.1.27.3: Ribonuclease T(1),bMTIPnfHuuBz
4.2.1.119: Enoyl-CoA hydratase 2,mereViVKEtNk
3.1.21.5: Type III site-specific deoxyribonuclease,RUBleBsfCfZl
2.8.4.3: tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase,UPrDHdwfffHx
2.4.1.52: Poly(glycerol-phosphate) alpha-glucosyltransferase,gCusHhXLlHIX
"2.4.1.292: 1,4-N-acetyl-D-galactosaminyltransferase",npjdmEEGpbBK
5.3.1.6: Ribose-5-phosphate isomerase,ENABOoOcZsIE
3.1.1.96: D-aminoacyl-tRNA deacylase,pxdfesnfJrND
3.1.2.29: Fluoroacetyl-CoA thioesterase,tAJXbBPMPbLB
1.6.1.2: NAD(P)(+) transhydrogenase (Re/Si-specific),NdODoCFlBThA
1.2.1.72: Erythrose-4-phosphate dehydrogenase,wGxoeojTtKpn
3.4.11.19: D-stereospecific aminopeptidase,irQXHsonQzaC
5.3.99.11: 2-keto-myo-inositol isomerase,LQorUvXOBlSx
1.7.99.1: Hydroxylamine reductase,fyRZaClAQSzY
1.2.1.43: Formate dehydrogenase (NADP(+)),KopJPGgjaYEv
2.7.2.3: Phosphoglycerate kinase,OeIKITBSNRCD
2.4.1.49: Cellodextrin phosphorylase,FMzTZpDFGuFj
2.7.1.100: S-methyl-5-thioribose kinase,qwNWtKxCGSvi
4.2.1.8: Mannonate dehydratase,uvgiPjXaNnHV
5.1.3.30: D-psicose 3-epimerase,BDhvjwMyQtgy
1.1.1.289: Sorbose reductase,eFGZxRdkfnRr
2.7.7.39: Glycerol-3-phosphate cytidylyltransferase,wqJuIVIhCEGZ
3.2.2.24: ADP-ribosyl-[dinitrogen reductase] hydrolase,cTfXqzGfItej
1.2.1.8: Betaine-aldehyde dehydrogenase,EjENVueUzgGB
4.2.1.39: Gluconate dehydratase,ZNFeoOpuuUoB
1.3.98.3: NO_NAME,TalYDFlBMtQO
2.6.1.29: Diamine transaminase,XEyZwNJssvte
4.1.1.15: Glutamate decarboxylase,fJxEYbNepNbT
5.4.99.4: 2-methyleneglutarate mutase,DcbhuzYEwmsI
3.4.14.9: Tripeptidyl-peptidase I,EcwniqdheeHu
2.8.3.19: CoA:oxalate CoA-transferase,wXAYIZdVzbkF
2.7.8.20: Phosphatidylglycerol--membrane-oligosaccharide glycerophosphotransferase,VYvPzYrxvHZO
3.2.1.139: Alpha-glucuronidase,rLjZFyCsaBlt
6.1.1.23: Aspartate--tRNA(Asn) ligase,qaBSXqOiJCBO
"2.5.1.17: Cob(I)yrinic acid a,c-diamide adenosyltransferase",YpwWYdNhVWVS
3.5.4.43: NO_NAME,vfWuZGLbYEVL
2.5.1.29: Geranylgeranyl diphosphate synthase,uSaOpFqfLwvX
1.3.99.1: Deleted entry,dSCBhneoDeBy
"2.2.1.10: 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase",wGaeOAScdLea
4.3.99.3: 7-carboxy-7-deazaguanine synthase,nBSOKJOWCwRy
3.2.1.183: UDP-N-acetylglucosamine 2-epimerase (hydrolyzing),RNVINurIGNgg
"1.2.1.77: 3,4-dehydroadipyl-CoA semialdehyde dehydrogenase (NADP(+))",uAexeKYlInUz
3.1.3.15: Histidinol-phosphatase,JlhtYpcAexfo
2.1.1.207: tRNA (cytidine(34)-2'-O)-methyltransferase,RZSQUAjjugnD
1.1.1.131: Mannuronate reductase,OLVMMgPKgHjT
3.4.24.84: Ste24 endopeptidase,HraxpsuWCkKf
2.1.1.33: tRNA (guanine(46)-N(7))-methyltransferase,KFAjTAPKcfOl
1.14.13.84: 4-hydroxyacetophenone monooxygenase,ywTewSAQotNL
2.1.1.63: Methylated-DNA--[protein]-cysteine S-methyltransferase,XlVEiACgClaX
2.7.7.3: Pantetheine-phosphate adenylyltransferase,elfHgXrltWAn
4.3.1.32: NO_NAME,xAmUuUzDPvrW
1.97.1.12: Photosystem I,ZuWVKUOcwsnz
2.1.1.258: Co-methyltransferase,laWNiyrQVFKr
3.6.1.31: Phosphoribosyl-ATP diphosphatase,oknlCXRnUZqw
2.1.1.14: 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase,TiMuXwUuszkq
1.14.12.19: 3-phenylpropanoate dioxygenase,IdoYIBPVqcOJ
"5.4.2.2: Phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)",tTJkWyvogKLk
"1.13.11.3: Protocatechuate 3,4-dioxygenase",FSzSfjeZSBqF
3.1.11.1: Exodeoxyribonuclease I,VbcxicrxiaHj
3.4.11.24: Aminopeptidase S,kkJweGJnIQxh
"2.1.1.132: Precorrin-6B C(5,15)-methyltransferase (decarboxylating)",yiqslElKEbxq
3.1.3.11: Fructose-bisphosphatase,HzXwyCKvdjdN
3.2.2.15: DNA-deoxyinosine glycosylase,THNqZwELbkuY
1.8.2.2: Thiosulfate dehydrogenase,XCCIADsOaRMx
3.4.11.9: Xaa-Pro aminopeptidase,qDeBfeAqnTfd
2.1.1.176: 16S rRNA (cytosine(967)-C(5))-methyltransferase,dvxfoDtQmaFs
2.4.99.17: S-adenosylmethionine:tRNA ribosyltransferase-isomerase,CHcufdzUIJhW
1.3.99.31: Phytoene desaturase (lycopene-forming),wQCjGXWBoCVC
4.2.1.28: Propanediol dehydratase,HBBlwjZbPVHY
5.2.1.5: Linoleate isomerase,URKLYSjGysOB
4.3.3.6: Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing),WsfoCMWzBEYl
2.4.2.15: Guanosine phosphorylase,HPOsdrhkFxju
1.13.11.29: Stizolobate synthase,YfOuOnyDwHoX
6.1.1.9: Valine--tRNA ligase,XLJGIyvhJrjY
3.1.1.11: Pectinesterase,JNEtagQJPjWL
6.3.2.31: Coenzyme F420-0:L-glutamate ligase,aSFchfFsNtsV
3.1.1.41: Cephalosporin-C deacetylase,JBhkBiZVhGqI
1.2.1.19: Aminobutyraldehyde dehydrogenase,MFGaCbrZICqj
6.3.1.19: NO_NAME,VpCrVaeNuJQU
1.3.98.1: Dihydroorotate oxidase (fumarate),gpZuDJNRGnKR
2.6.1.22: (S)-3-amino-2-methylpropionate transaminase,xQxbPqKSbrcb
2.7.7.27: Glucose-1-phosphate adenylyltransferase,TjsDVYrshLWZ
2.7.7.1: Nicotinamide-nucleotide adenylyltransferase,IKNqGvcTUtPW
1.1.1.61: 4-hydroxybutyrate dehydrogenase,kLkQdIBrxKnA
2.5.1.114: tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase,oLbzXrnIPzNz
"2.6.1.59: dTDP-4-amino-4,6-dideoxygalactose transaminase",KVxIJTFoashp
3.6.3.35: Manganese-transporting ATPase,tIWtSsINCUju
3.5.3.3: Creatinase,zTBNIYoLvQmx
2.4.1.252: GDP-mannose:cellobiosyl-diphosphopolyprenol alpha-mannosyltransferase,ZkAxesfDCuub
3.2.2.28: Double-stranded uracil-DNA glycosylase,gZvhQmYPHqtQ
2.3.1.18: Galactoside O-acetyltransferase,fgKIQLCRsLEt
4.4.1.16: Selenocysteine lyase,nPxvJoJqShyZ
6.1.1.7: Alanine--tRNA ligase,ojUCptKlsHwu
3.4.24.64: Mitochondrial processing peptidase,kRHbdoWFqguy
4.1.2.13: Fructose-bisphosphate aldolase,wERGAAUxoHJq
2.1.1.43: Histone-lysine N-methyltransferase,xRGFCavpDFzp
5.2.1.1: Maleate isomerase,ccOPpOOFYVhF
2.1.1.8: Histamine N-methyltransferase,GopwtxfQPbHW
1.1.1.40: Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+)),bqbQhyeQLgWt
1.1.1.56: Ribitol 2-dehydrogenase,rGHwEvIfmfcQ
1.8.4.11: Peptide-methionine (S)-S-oxide reductase,uZWxSwKRqJol
2.1.3.15: NO_NAME,nKdTNDowZcWm
1.3.1.31: 2-enoate reductase,rvHZgeUcpVPs
"1.12.98.2: 5,10-methenyltetrahydromethanopterin hydrogenase",BHxOfxpqrIBg
2.5.1.65: O-phosphoserine sulfhydrylase,JRYoUkIXeMVl
2.3.1.35: Glutamate N-acetyltransferase,RvsGiXIzyOSn
3.2.1.73: Licheninase,PyOCDvuYZdtW
3.6.1.13: ADP-ribose diphosphatase,QRswtFDwXfQD
"4.1.3.32: 2,3-dimethylmalate lyase",GTrbyHARjGfL
5.1.1.3: Glutamate racemase,eMPMQCmegCYi
4.2.1.49: Urocanate hydratase,KUSTJKgHFNri
2.7.7.12: UDP-glucose--hexose-1-phosphate uridylyltransferase,ftKUFWTWOTlR
1.21.4.4: Betaine reductase,pALWekjoutuc
5.1.3.2: UDP-glucose 4-epimerase,HmQGgceElgvr
2.7.1.50: Hydroxyethylthiazole kinase,jfpuJaBkWPRO
3.2.1.20: Alpha-glucosidase,fcwTTbEwgkCF
2.3.3.9: Malate synthase,HciHUuExKmCd
"2.3.1.117: 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",oslPgNsPPUGA
3.6.3.10: Hydrogen/potassium-exchanging ATPase,iPDvZKBGPEcC
2.1.1.257: tRNA (pseudouridine(54)-N(1))-methyltransferase,ldPiiZZXiJWy
"1.14.12.7: Phthalate 4,5-dioxygenase",PskKtTtOUpxG
3.1.21.3: Type I site-specific deoxyribonuclease,pkfGHdtbjYPI
3.5.2.15: Cyanuric acid amidohydrolase,FmyTtXPSgnpc
2.7.1.112: Transferred entry: 2.7.10.1 and 2.7.10.2,tYsvZgkWxLQv
"1.3.1.101: 2,3-bis-O-geranylgeranyl-sn-glycerol 1-phosphate reductase (NAD(P)H)",JUayFvAjXGdb
3.1.26.5: Ribonuclease P,LcGDIArnFLfN
6.6.1.2: Cobaltochelatase,gZsroQXLWYya
1.7.1.4: Nitrite reductase (NAD(P)H),MNrzPQlzLzSo
3.5.4.2: Adenine deaminase,jptJGosgUznk
1.1.3.46: 4-hydroxymandelate oxidase,jTFjuYMPMbSa
3.1.3.103: NO_NAME,acaQdqCOPJsK
2.6.1.85: Aminodeoxychorismate synthase,WWlUwOumQrdq
2.1.1.35: tRNA (uracil(54)-C(5))-methyltransferase,OEUcsOIGNTjd
3.5.1.78: Glutathionylspermidine amidase,QQEidTgRIcQa
4.2.1.3: Aconitate hydratase,LMCZpTESxWRv
3.5.1.42: Nicotinamide-nucleotide amidase,dKXDmlPwTiwd
"2.6.1.90: dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose transaminase",WyPAdPisDbky
"2.4.1.309: diphosphoundecaprenol alpha-1,3-galactosyltransferase",noFVBwJFYemL
3.4.24.29: Aureolysin,CHuDstvzAnnm
3.5.3.23: N-succinylarginine dihydrolase,whraMyDwWzUs
1.1.1.30: 3-hydroxybutyrate dehydrogenase,bQZwyyFfrTHJ
5.4.99.60: Cobalt-precorrin-8 methylmutase,frPxORumrSKq
2.7.8.12: CDP-glycerol glycerophosphotransferase,raESsFKdRAiu
2.7.1.25: Adenylyl-sulfate kinase,HoNlsBSDlvUG
2.7.1.193: NO_NAME,eePFrTGnjzNO
2.7.1.200: NO_NAME,MBiFoqhsYHTO
1.8.99.3: Hydrogensulfite reductase,luWpBnAFZgZr
4.1.3.38: Aminodeoxychorismate lyase,gtbFoSKHtPNm
1.1.1.79: Glyoxylate reductase (NADP(+)),ZFvoVAzmKMFl
2.4.1.325: TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase,XtuSttfHaDJc
4.3.1.9: Glucosaminate ammonia-lyase,EPNhYQbDTYVC
4.2.1.33: 3-isopropylmalate dehydratase,tZxFXXUCbIMi
2.3.1.275: NO_NAME,eVQaxDACyFbi
6.2.1.5: Succinate--CoA ligase (ADP-forming),NprkXPbgZEhL
1.17.1.4: Xanthine dehydrogenase,yZizOtCtCUAB
3.5.1.116: Ureidoglycolate amidohydrolase,jTHwMIwHYwmJ
1.1.1.244: Methanol dehydrogenase,fzoSkfktHMZf
4.2.1.84: Nitrile hydratase,QYfVshmYIvBG
6.3.5.5: Carbamoyl-phosphate synthase (glutamine-hydrolyzing),HIMMLUhvpGNo
2.7.7.63: Lipoate--protein ligase,kycwxLIUghmq
2.3.1.29: Glycine C-acetyltransferase,HLUOFvUDcusZ
1.16.1.1: Mercury(II) reductase,OTIKDWylNFQV
7.5.2.4: NO_NAME,WUSzWVMFFCkx
"2.5.1.96: 4,4'-diapophytoene synthase",ATpJFcvWabrs
1.8.4.8: Phosphoadenylyl-sulfate reductase (thioredoxin),yAJotUjQrEov
2.1.3.3: Ornithine carbamoyltransferase,xAiJETCdyyGj
3.2.1.80: Fructan beta-fructosidase,FRaXHYIkagPH
6.3.1.9: Trypanothione synthase,mIfXZHgwytRe
3.5.1.9: Arylformamidase,BoaRvqXvmNnB
5.3.2.8: 4-oxalomesaconate tautomerase,qPIVKxBHfsTH
2.7.1.176: UDP-N-acetylglucosamine kinase,jXegLFCogSvZ
5.1.1.1: Alanine racemase,ufyJMuIorgVy
2.1.1.185: 23S rRNA (guanosine(2251)-2'-O)-methyltransferase,GVVxzAInnpZv
1.2.1.28: Benzaldehyde dehydrogenase (NAD(+)),LInrZVKGTMkp
1.1.5.8: Quinate dehydrogenase (quinone),BLhPsOOtNtPJ
7.6.2.1: NO_NAME,BSGsYVkCWINs
2.3.3.1: Citrate (Si)-synthase,SNSxXQGXXcKu
1.1.1.313: Sulfoacetaldehyde reductase,cVoxLEGAIxRT
2.3.1.16: Acetyl-CoA C-acyltransferase,xKGBWwCUXwiL
4.2.1.6: Galactonate dehydratase,AHMkLVXLvEAD
1.5.3.1: Sarcosine oxidase,CQIvxfvZaEMf
5.1.3.4: L-ribulose-5-phosphate 4-epimerase,oiXyDciEIPWR
2.7.1.197: NO_NAME,VeaSDOkasFUK
1.4.99.5: Glycine dehydrogenase (cyanide-forming),IcUjyeFHqdgj
1.8.99.1: Deleted entry,jbiLrNsPHOnZ
5.3.1.14: L-rhamnose isomerase,wLgXpBaXcfEi
2.7.1.2: Glucokinase,OtusXAPLpuWs
1.8.5.7: NO_NAME,JDFSjPmkOySS
2.5.1.76: Cysteate synthase,NpWmOPdIFEXW
6.1.1.3: Threonine--tRNA ligase,PlNoFsSYVqMJ
3.4.19.5: Beta-aspartyl-peptidase,MYhvFNlXbSqR
2.7.7.7: DNA-directed DNA polymerase,hgcLViqnTLrr
3.1.3.26: 4-phytase,NgcSVhXeIwAM
"3.2.1.98: Glucan 1,4-alpha-maltohexaosidase",zCabnRsIXOmU
3.5.1.n3: 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase,FEFiRAsqIWMv
1.1.1.414: NO_NAME,ssyzjZIyNGWl
4.2.3.1: Threonine synthase,tyiTYgMhsJNd
1.17.4.1: Ribonucleoside-diphosphate reductase,nHtGeseTGweR
2.4.2.54: Beta-ribofuranosylhydroxybenzene 5'-phosphate synthase,cAXmNUSofmaU
"2.7.7.58: (2,3-dihydroxybenzoyl)adenylate synthase",pNQzksLHrakI
2.3.1.15: Glycerol-3-phosphate 1-O-acyltransferase,waHZInzIOzMx
1.1.1.215: Gluconate 2-dehydrogenase,iuuvzDmwmRdn
2.6.1.1: Aspartate transaminase,GSjeZutxCYyi
3.4.22.48: Staphopain,iNndDfwwEmYL
4.3.1.12: Ornithine cyclodeaminase,ihZogisYBzis
6.3.1.12: D-aspartate ligase,sGlsCDArebGv
1.17.7.1: (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (ferredoxin),tsMzDJJaBFWq
2.6.1.52: Phosphoserine transaminase,ilpmdkLNpVet
4.2.1.53: Oleate hydratase,xTInjAmJyrsz
"4.2.1.115: UDP-N-acetylglucosamine 4,6-dehydratase (inverting)",qrSrhLXFItZr
2.7.7.10: UTP--hexose-1-phosphate uridylyltransferase,sREDQULMrmWR
2.3.1.46: Homoserine O-succinyltransferase,evhfPYDTIFuA
"2.3.1.202: UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase",enQUKeFjlXZe
3.1.6.8: Cerebroside-sulfatase,mslprPSYdTGy
1.14.14.10: Nitrilotriacetate monooxygenase,RKAbcfSkWweD
2.1.1.208: 23S rRNA (uridine(2479)-2'-O)-methyltransferase,pICWTjijqcXx
3.6.1.23: dUTP diphosphatase,MrZeSoqBKwfh
1.1.99.14: Glycolate dehydrogenase,PsNTLEfqhERt
1.3.1.106: Cobalt-precorrin-6A reductase,KrmGSOYKtdkS
4.1.2.n3: Transferred entry: 4.1.2.53,XlmSMwkLDYTy
1.18.1.1: Rubredoxin--NAD(+) reductase,uNtYYyGvnZrU
5.4.99.22: 23S rRNA pseudouridine(2605) synthase,oFpFGhzLXNPT
"2.7.9.1: Pyruvate, phosphate dikinase",YrrypBDywckw
3.1.1.23: Acylglycerol lipase,kHkVEDzGpnzV
1.14.13.49: (S)-limonene 7-monooxygenase,iLobGRGAPFhC
3.6.3.8: Calcium-transporting ATPase,FXBXtjiKaFTB
2.7.7.71: D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase,zmgbsfzRjzQY
3.4.22.34: Legumain,XXhuxWoxnUZR
1.3.8.3: (R)-benzylsuccinyl-CoA dehydrogenase,aQXVgDuijzQR
2.4.99.13: (Kdo)-lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase,DpISwlwNWDNP
2.7.4.16: Thiamine-phosphate kinase,tsEYeveNUzco
1.1.1.26: Glyoxylate reductase,lciyJasnUdoj
3.4.16.6: Carboxypeptidase D,bAWRVgfOpheN
3.4.14.12: Xaa-Xaa-Pro tripeptidyl-peptidase,veyTyWxeffLy
4.1.2.4: Deoxyribose-phosphate aldolase,kDqBcIXLEQDY
1.1.1.91: Aryl-alcohol dehydrogenase (NADP(+)),uLqaeSjKgGQK
2.8.3.5: 3-oxoacid CoA-transferase,ISLyzzdkEOLp
2.4.1.304: galactosyltransferase,ATnJFIQmtVfA
3.4.21.19: Glutamyl endopeptidase,ZbPkFtPVKWAd
2.7.1.63: Polyphosphate--glucose phosphotransferase,ONJzMOFRKAkH
1.1.1.125: 2-deoxy-D-gluconate 3-dehydrogenase,faciddqbRCrV
3.5.1.24: Choloylglycine hydrolase,BnpruvJhEIES
6.3.4.21: Nicotinate phosphoribosyltransferase,qUJgFiARaxnT
3.4.11.15: Aminopeptidase Y,kiRSYmkBDdtH
1.14.11.33: DNA oxidative demethylase,UWIrZVXwwMii
1.14.13.2: 4-hydroxybenzoate 3-monooxygenase,RXzsGstvCyKy
4.4.1.15: D-cysteine desulfhydrase,ydKmJmUVGbKp
4.99.1.4: Sirohydrochlorin ferrochelatase,ZwyIkOcqYPec
1.3.7.9: 4-hydroxybenzoyl-CoA reductase,jBeARiRrjmBm
3.1.1.2: Arylesterase,kFaCmdIsYepy
2.1.1.166: 23S rRNA (uridine(2552)-2'-O)-methyltransferase,KofTgxfonHtS
4.2.1.172: NO_NAME,jVXsHTViIPBd
2.7.7.23: UDP-N-acetylglucosamine diphosphorylase,ndIGiJSRlAWU
3.6.3.32: Quaternary-amine-transporting ATPase,fSlASHkntDcw
3.5.4.33: tRNA(adenine(34)) deaminase,fnUHMbcKNRlr
3.4.24.3: Microbial collagenase,dfwrosOWmzsU
2.7.6.3: 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,NeDUinQUjRYG
3.2.1.172: Unsaturated rhamnogalacturonyl hydrolase,ozbofjtkaVvV
1.1.1.127: 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase,aDmdQYdITpaj
2.7.1.26: Riboflavin kinase,igEaZecIgDPJ
3.2.2.21: DNA-3-methyladenine glycosylase II,LwKlzfDdlMxr
2.6.1.48: 5-aminovalerate transaminase,jnnDcHLXqmYJ
6.4.1.7: 2-oxoglutarate carboxylase,jIrVcseTFvXt
1.1.1.405: NO_NAME,MSGwaJROLHNN
1.1.1.77: Lactaldehyde reductase,mvkDLsnfrdvN
4.1.2.19: Rhamnulose-1-phosphate aldolase,WagoGvHyRFQX
6.3.2.8: UDP-N-acetylmuramate--L-alanine ligase,yBrKTNZkFMFL
2.1.2.8: Deoxycytidylate 5-hydroxymethyltransferase,iIVhOTMVmorN
3.1.3.104: NO_NAME,gcUnZqgYjaos
2.7.4.8: Guanylate kinase,BTAgvPCdZomh
